frame,time_s,x,y,z,clearance_m,risk,lidar_points,min_lidar_range_m
0,0.0,0.34,-2.12,1.05,1.5982138299279744,SAFE,140,0.69
1,0.05555555555555555,0.34,-2.12,1.05,1.5982138299279744,SAFE,140,0.69
2,0.1111111111111111,0.34,-2.12,1.05,1.5982138299279744,SAFE,140,0.69
3,0.16666666666666666,0.43681005143947715,-2.1017181720186926,1.0491416162510308,1.539559137040877,SAFE,140,0.7082818279813075
4,0.2222222222222222,0.43681005143947715,-2.1017181720186926,1.0491416162510308,1.539559137040877,SAFE,140,0.7082818279813075
5,0.2777777777777778,0.5331093905619165,-2.0866438791492854,1.0488415163600784,1.4934745322598952,SAFE,140,0.7233561208507147
6,0.3333333333333333,0.5331093905619165,-2.0866438791492854,1.0488415163600784,1.4934745322598952,SAFE,140,0.7233561208507147
7,0.3888888888888889,0.5331093905619165,-2.0866438791492854,1.0488415163600784,1.4934745322598952,SAFE,140,0.7233561208507147
8,0.4444444444444444,0.6297812056300809,-2.0767663418547833,1.0475258906525313,1.4472703510128482,SAFE,140,0.7332336581452168
9,0.5,0.6297812056300809,-2.0767663418547833,1.0475258906525313,1.4472703510128482,SAFE,140,0.7332336581452168
10,0.5555555555555556,0.7312882643350387,-2.0722536725654703,1.044823103873092,1.4344021779460798,SAFE,140,0.7377463274345297
11,0.6111111111111112,0.7312882643350387,-2.0722536725654703,1.044823103873092,1.4344021779460798,SAFE,140,0.7377463274345297
12,0.6666666666666666,0.7312882643350387,-2.0722536725654703,1.044823103873092,1.4344021779460798,SAFE,140,0.7377463274345297
13,0.7222222222222222,0.8338492044214341,-2.0681767864509393,1.0437330279673556,1.447463170688521,SAFE,140,0.7418232135490608
14,0.7777777777777778,0.8338492044214341,-2.0681767864509393,1.0437330279673556,1.447463170688521,SAFE,140,0.7418232135490608
15,0.8333333333333334,0.9363359082255789,-2.0568083358630247,1.0445197183610289,1.4357688618374573,SAFE,140,0.7531916641369754
16,0.8888888888888888,0.9363359082255789,-2.0568083358630247,1.0445197183610289,1.4357688618374573,SAFE,140,0.7531916641369754
17,0.9444444444444444,0.9363359082255789,-2.0568083358630247,1.0445197183610289,1.4357688618374573,SAFE,140,0.7531916641369754
18,1.0,1.0411169570374303,-2.030572200567955,1.04768094106362,1.4082233042592742,SAFE,140,0.7794277994320451
19,1.0555555555555556,1.0411169570374303,-2.030572200567955,1.04768094106362,1.4082233042592742,SAFE,140,0.7794277994320451
20,1.1111111111111112,1.140215918496816,-1.9909483625453255,1.053314891520783,1.3662658061093995,SAFE,140,0.8190516374546746
21,1.1666666666666667,1.140215918496816,-1.9909483625453255,1.053314891520783,1.3662658061093995,SAFE,140,0.8190516374546746
22,1.2222222222222223,1.140215918496816,-1.9909483625453255,1.053314891520783,1.3662658061093995,SAFE,140,0.8190516374546746
23,1.2777777777777777,1.2217259752471288,-1.951203163496491,1.0565192738862987,1.3251933069239636,SAFE,140,0.858796836503509
24,1.3333333333333333,1.2217259752471288,-1.951203163496491,1.0565192738862987,1.3251933069239636,SAFE,140,0.858796836503509
25,1.3888888888888888,1.2790370671696567,-1.9043631400895937,1.0558938956450752,1.2786123217898027,SAFE,140,0.9056368599104063
26,1.4444444444444444,1.2790370671696567,-1.9043631400895937,1.0558938956450752,1.2786123217898027,SAFE,140,0.9056368599104063
27,1.5,1.2790370671696567,-1.9043631400895937,1.0558938956450752,1.2786123217898027,SAFE,140,0.9056368599104063
28,1.5555555555555556,1.3297369452026082,-1.8387747412062396,1.0572547856599694,1.2124602212320703,SAFE,140,0.9712252587937604
29,1.6111111111111112,1.3297369452026082,-1.8387747412062396,1.0572547856599694,1.2124602212320703,SAFE,140,0.9712252587937604
30,1.6666666666666667,1.397668467527248,-1.7687199405085323,1.055999296459202,1.1429254583746193,SAFE,140,1.0412800594914677
31,1.7222222222222223,1.397668467527248,-1.7687199405085323,1.055999296459202,1.1429254583746193,SAFE,140,1.0412800594914677
32,1.7777777777777777,1.397668467527248,-1.7687199405085323,1.055999296459202,1.1429254583746193,SAFE,140,1.0412800594914677
33,1.8333333333333333,1.4754613603716837,-1.7199854091026343,1.0456267861051685,1.09847785310911,SAFE,140,1.0900145908973657
34,1.8888888888888888,1.4754613603716837,-1.7199854091026343,1.0456267861051685,1.09847785310911,SAFE,140,1.0900145908973657
35,1.9444444444444444,1.5524444252345517,-1.6739575430309641,1.0346680913792612,1.0235182458068086,SAFE,140,1.136042456969036
36,2.0,1.5524444252345517,-1.6739575430309641,1.0346680913792612,1.0235182458068086,SAFE,140,1.136042456969036
37,2.0555555555555554,1.5524444252345517,-1.6739575430309641,1.0346680913792612,1.0235182458068086,SAFE,140,1.136042456969036
38,2.111111111111111,1.6456623332529916,-1.6092887422282907,1.0312962309633735,0.9106440730044659,SAFE,140,1.2007112577717094
39,2.1666666666666665,1.6456623332529916,-1.6092887422282907,1.0312962309633735,0.9106440730044659,SAFE,140,1.2007112577717094
40,2.2222222222222223,1.7574007308945516,-1.5403838515370762,1.0354817148125839,0.8365022168731248,SAFE,140,1.2696161484629238
41,2.2777777777777777,1.7574007308945516,-1.5403838515370762,1.0354817148125839,0.8365022168731248,SAFE,140,1.2696161484629238
42,2.3333333333333335,1.7574007308945516,-1.5403838515370762,1.0354817148125839,0.8365022168731248,SAFE,140,1.2696161484629238
43,2.388888888888889,1.85161079035309,-1.4639885607189287,1.042568193235136,0.7630422644433306,SAFE,140,1.3460114392810714
44,2.4444444444444446,1.85161079035309,-1.4639885607189287,1.042568193235136,0.7630422644433306,SAFE,140,1.3460114392810714
45,2.5,1.925845392380069,-1.3801056680472852,1.0440777590195993,0.6797846510231634,SAFE,140,1.4298943319527149
46,2.5555555555555554,1.925845392380069,-1.3801056680472852,1.0440777590195993,0.6797846510231634,SAFE,140,1.4298943319527149
47,2.611111111111111,1.9883303164794932,-1.3251001839603966,1.043411031747639,0.6245029972882402,SAFE,140,1.4848998160396034
48,2.6666666666666665,1.9883303164794932,-1.3251001839603966,1.043411031747639,0.6245029972882402,SAFE,140,1.4848998160396034
49,2.7222222222222223,1.9883303164794932,-1.3251001839603966,1.043411031747639,0.6245029972882402,SAFE,140,1.4848998160396034
50,2.7777777777777777,2.053572646204388,-1.3025717497193927,1.0370279645523337,0.6163579944165279,SAFE,140,1.4764273537956116
51,2.8333333333333335,2.053572646204388,-1.3025717497193927,1.0370279645523337,0.6163579944165279,SAFE,140,1.4764273537956116
52,2.888888888888889,2.136835483748703,-1.2775973555332625,1.0233985920105497,0.6137787515219693,SAFE,140,1.393164516251297
53,2.9444444444444446,2.136835483748703,-1.2775973555332625,1.0233985920105497,0.6137787515219693,SAFE,140,1.393164516251297
54,3.0,2.136835483748703,-1.2775973555332625,1.0233985920105497,0.6137787515219693,SAFE,140,1.393164516251297
55,3.0555555555555554,2.2252371068811367,-1.22894133039186,1.0119061894574943,0.5978055685564948,SAFE,140,1.304762893118863
56,3.111111111111111,2.2252371068811367,-1.22894133039186,1.0119061894574943,0.5978055685564948,SAFE,140,1.304762893118863
57,3.1666666666666665,2.3209855465706726,-1.1777949308950815,1.0056833188511838,0.584341606941684,SAFE,140,1.2090144534293272
58,3.2222222222222223,2.3209855465706726,-1.1777949308950815,1.0056833188511838,0.584341606941684,SAFE,140,1.2090144534293272
59,3.2777777777777777,2.3209855465706726,-1.1777949308950815,1.0056833188511838,0.584341606941684,SAFE,140,1.2090144534293272
60,3.3333333333333335,2.4001602995429856,-1.1337859261785392,0.9976387301972498,0.5913936886294191,SAFE,140,1.1298397004570142
61,3.388888888888889,2.4001602995429856,-1.1337859261785392,0.9976387301972498,0.5913936886294191,SAFE,140,1.1298397004570142
62,3.4444444444444446,2.45918479818634,-1.0642063070458083,0.9922660199295266,0.6145167696716385,SAFE,140,1.0708152018136596
63,3.5,2.45918479818634,-1.0642063070458083,0.9922660199295266,0.6145167696716385,SAFE,140,1.0708152018136596
64,3.5555555555555554,2.45918479818634,-1.0642063070458083,0.9922660199295266,0.6145167696716385,SAFE,140,1.0708152018136596
65,3.611111111111111,2.5021518167118333,-0.9694155693757435,0.998338124016872,0.6201501242242278,SAFE,140,1.0235097085845548
66,3.6666666666666665,2.5021518167118333,-0.9694155693757435,0.998338124016872,0.6201501242242278,SAFE,140,1.0235097085845548
67,3.7222222222222223,2.5429702967014025,-0.8695830259158055,1.018490273086813,0.6270700102296207,SAFE,140,0.9657701532630463
68,3.7777777777777777,2.5429702967014025,-0.8695830259158055,1.018490273086813,0.6270700102296207,SAFE,140,0.9657701532630463
69,3.8333333333333335,2.5429702967014025,-0.8695830259158055,1.018490273086813,0.6270700102296207,SAFE,140,0.9657701532630463
70,3.888888888888889,2.616657482073637,-0.7774209267423177,1.0416083641168734,0.6808506274108167,SAFE,140,0.8842328816001159
71,3.9444444444444446,2.616657482073637,-0.7774209267423177,1.0416083641168734,0.6808506274108167,SAFE,140,0.8842328816001159
72,4.0,2.69902147032656,-0.7092904396053045,1.0493604517459656,0.760888619283523,SAFE,140,0.80097852967344
73,4.055555555555555,2.69902147032656,-0.7092904396053045,1.0493604517459656,0.760888619283523,SAFE,140,0.80097852967344
74,4.111111111111111,2.69902147032656,-0.7092904396053045,1.0493604517459656,0.760888619283523,SAFE,140,0.80097852967344
75,4.166666666666667,2.7704275378332714,-0.6538374055598388,1.0501027075389682,0.7793433866197058,SAFE,140,0.7295724621667286
76,4.222222222222222,2.7704275378332714,-0.6538374055598388,1.0501027075389682,0.7793433866197058,SAFE,140,0.7295724621667286
77,4.277777777777778,2.8425974813994794,-0.5817068018719982,1.0524710265094868,0.7912540035357554,SAFE,140,0.6634065055201801
78,4.333333333333333,2.8425974813994794,-0.5817068018719982,1.0524710265094868,0.7912540035357554,SAFE,140,0.6634065055201801
79,4.388888888888889,2.8425974813994794,-0.5817068018719982,1.0524710265094868,0.7912540035357554,SAFE,140,0.6634065055201801
80,4.444444444444445,2.9097461419876267,-0.5109599101270375,1.0473785543657916,0.7534096606235602,SAFE,140,0.6123201236054762
81,4.5,2.9097461419876267,-0.5109599101270375,1.0473785543657916,0.7534096606235602,SAFE,140,0.6123201236054762
82,4.555555555555555,2.98866611434172,-0.4441956261689568,1.040444331713183,0.702144355415123,SAFE,140,0.5560831341063919
83,4.611111111111111,2.98866611434172,-0.4441956261689568,1.040444331713183,0.702144355415123,SAFE,140,0.5560831341063919
84,4.666666666666667,2.98866611434172,-0.4441956261689568,1.040444331713183,0.702144355415123,SAFE,140,0.5560831341063919
85,4.722222222222222,3.080894350009018,-0.38686242202762233,1.0393330717463212,0.6337216616997129,SAFE,140,0.5021795847425253
86,4.777777777777778,3.080894350009018,-0.38686242202762233,1.0393330717463212,0.6337216616997129,SAFE,140,0.5021795847425253
87,4.833333333333333,3.180143516820182,-0.3236976209832082,1.0361606874968596,0.5978797264320266,SAFE,140,0.4628473028440258
88,4.888888888888889,3.180143516820182,-0.3236976209832082,1.0361606874968596,0.5978797264320266,SAFE,140,0.4628473028440258
89,4.944444444444445,3.274545950041811,-0.2358496504606686,1.0300388951022563,0.6423893023852929,SAFE,140,0.4757732844826718
90,5.0,3.274545950041811,-0.2358496504606686,1.0300388951022563,0.6423893023852929,SAFE,140,0.4757732844826718
91,5.055555555555555,3.274545950041811,-0.2358496504606686,1.0300388951022563,0.6423893023852929,SAFE,140,0.4757732844826718
92,5.111111111111111,3.3312034721893955,-0.1538223284135217,1.031602797267889,0.7003509960304433,SAFE,140,0.5299713641806952
93,5.166666666666667,3.3312034721893955,-0.1538223284135217,1.031602797267889,0.7003509960304433,SAFE,140,0.5299713641806952
94,5.222222222222222,3.3791600380829516,-0.10086558606239193,1.0360045920680951,0.7261539488485474,SAFE,140,0.5632564285790955
95,5.277777777777778,3.3791600380829516,-0.10086558606239193,1.0360045920680951,0.7261539488485474,SAFE,140,0.5632564285790955
96,5.333333333333333,3.3791600380829516,-0.10086558606239193,1.0360045920680951,0.7261539488485474,SAFE,140,0.5632564285790955
97,5.388888888888889,3.4629739297890914,-0.046809891799912795,1.0437808813637635,0.7499805351835485,SAFE,140,0.6056281892381556
98,5.444444444444445,3.4629739297890914,-0.046809891799912795,1.0437808813637635,0.7499805351835485,SAFE,140,0.6056281892381556
99,5.5,3.5627789127958907,0.011526032758454277,1.055443026177854,0.7485016624020491,SAFE,140,0.6384739672415456
100,5.555555555555555,3.5627789127958907,0.011526032758454277,1.055443026177854,0.7485016624020491,SAFE,140,0.6384739672415456
101,5.611111111111111,3.5627789127958907,0.011526032758454277,1.055443026177854,0.7485016624020491,SAFE,140,0.6384739672415456
102,5.666666666666667,3.658550645791954,0.02450912521077153,1.058852542684115,0.7727613694288265,SAFE,140,0.6254908747892284
103,5.722222222222222,3.658550645791954,0.02450912521077153,1.058852542684115,0.7727613694288265,SAFE,140,0.6254908747892284
104,5.777777777777778,3.778847560517038,0.025520123009568386,1.0539406482324352,0.7218532853159199,SAFE,140,0.6244798769904315
105,5.833333333333333,3.778847560517038,0.025520123009568386,1.0539406482324352,0.7218532853159199,SAFE,140,0.6244798769904315
106,5.888888888888889,3.778847560517038,0.025520123009568386,1.0539406482324352,0.7218532853159199,SAFE,140,0.6244798769904315
107,5.944444444444445,3.892785547689055,0.056480836050907215,1.041964134526194,0.6777030807975498,SAFE,140,0.6032130457570827
108,6.0,3.892785547689055,0.056480836050907215,1.041964134526194,0.6777030807975498,SAFE,140,0.6032130457570827
109,6.055555555555555,3.973361314755855,0.09506075901136572,1.0246986025878266,0.6567478677988324,SAFE,140,0.5834976486470052
110,6.111111111111111,3.973361314755855,0.09506075901136572,1.0246986025878266,0.6567478677988324,SAFE,140,0.5834976486470052
111,6.166666666666667,3.973361314755855,0.09506075901136572,1.0246986025878266,0.6567478677988324,SAFE,140,0.5834976486470052
112,6.222222222222222,4.073740585475333,0.14663834853478488,1.0126597227577527,0.6467487291095296,SAFE,140,0.577671846977075
113,6.277777777777778,4.073740585475333,0.14663834853478488,1.0126597227577527,0.6467487291095296,SAFE,140,0.577671846977075
114,6.333333333333333,4.192279404459535,0.18237182599851065,1.0122719565772655,0.660115633847806,SAFE,140,0.6209612169786379
115,6.388888888888889,4.192279404459535,0.18237182599851065,1.0122719565772655,0.660115633847806,SAFE,140,0.6209612169786379
116,6.444444444444445,4.192279404459535,0.18237182599851065,1.0122719565772655,0.660115633847806,SAFE,140,0.6209612169786379
117,6.5,4.304063145136899,0.18065360748828097,1.0146232372033688,0.7199595221951237,SAFE,140,0.697380640570342
118,6.555555555555555,4.304063145136899,0.18065360748828097,1.0146232372033688,0.7199595221951237,SAFE,140,0.697380640570342
119,6.611111111111111,4.405142970608041,0.16434438283949032,1.0108015293990888,0.8187345323154802,SAFE,140,0.7789311320132007
120,6.666666666666667,4.405142970608041,0.16434438283949032,1.0108015293990888,0.8187345323154802,SAFE,140,0.7789311320132007
121,6.722222222222222,4.405142970608041,0.16434438283949032,1.0108015293990888,0.8187345323154802,SAFE,140,0.7789311320132007
122,6.777777777777778,4.498932833685044,0.1734399789036835,1.0035049380739727,0.908756880091844,SAFE,140,0.863928494141269
123,6.833333333333333,4.498932833685044,0.1734399789036835,1.0035049380739727,0.908756880091844,SAFE,140,0.863928494141269
124,6.888888888888889,4.583428634750383,0.21338521785328485,1.0082700761060113,0.9767068257563901,SAFE,140,0.9126096286573903
125,6.944444444444445,4.583428634750383,0.21338521785328485,1.0082700761060113,0.9767068257563901,SAFE,140,0.9126096286573903
126,7.0,4.583428634750383,0.21338521785328485,1.0082700761060113,0.9767068257563901,SAFE,140,0.9126096286573903
127,7.055555555555555,4.642483963969935,0.28611594781227107,1.025577693490708,1.0056361043326019,SAFE,140,0.9258546476198625
128,7.111111111111111,4.642483963969935,0.28611594781227107,1.025577693490708,1.0056361043326019,SAFE,140,0.9258546476198625
129,7.166666666666667,4.709441068381494,0.35342110025145546,1.0370271626946628,1.0447145060759004,SAFE,140,0.9575430819158584
130,7.222222222222222,4.709441068381494,0.35342110025145546,1.0370271626946628,1.0447145060759004,SAFE,140,0.9575430819158584
131,7.277777777777778,4.823890817508471,0.375045731670054,1.0406146025325753,1.133039024770269,SAFE,140,0.9349542683299461
132,7.333333333333333,4.823890817508471,0.375045731670054,1.0406146025325753,1.133039024770269,SAFE,140,0.9349542683299461
133,7.388888888888889,4.823890817508471,0.375045731670054,1.0406146025325753,1.133039024770269,SAFE,140,0.9349542683299461
134,7.444444444444445,4.967189228915574,0.361284496363214,1.0384518900085582,1.156941758451405,SAFE,140,0.948715503636786
135,7.5,4.967189228915574,0.361284496363214,1.0384518900085582,1.156941758451405,SAFE,140,0.948715503636786
136,7.555555555555555,5.060094217008559,0.32992521022492205,1.0314733855351603,1.0839600713204138,SAFE,140,0.980074789775078
137,7.611111111111111,5.060094217008559,0.32992521022492205,1.0314733855351603,1.0839600713204138,SAFE,140,0.980074789775078
138,7.666666666666667,5.060094217008559,0.32992521022492205,1.0314733855351603,1.0839600713204138,SAFE,140,0.980074789775078
139,7.722222222222222,5.120041012686583,0.2902747659421509,1.026485863142843,1.0058982425506267,SAFE,140,0.9115801414487833
140,7.777777777777778,5.120041012686583,0.2902747659421509,1.026485863142843,1.0058982425506267,SAFE,140,0.9115801414487833
141,7.833333333333333,5.214304610186011,0.2886292392721595,1.0207779975268618,0.951735710223777,SAFE,140,0.8591886959770405
142,7.888888888888889,5.214304610186011,0.2886292392721595,1.0207779975268618,0.951735710223777,SAFE,140,0.8591886959770405
143,7.944444444444445,5.214304610186011,0.2886292392721595,1.0207779975268618,0.951735710223777,SAFE,140,0.8591886959770405
144,8.0,5.332200448844904,0.34398020386431777,1.0210117753103012,0.9543176821924545,SAFE,140,0.8200607993291813
145,8.055555555555555,5.332200448844904,0.34398020386431777,1.0210117753103012,0.9543176821924545,SAFE,140,0.8200607993291813
146,8.11111111111111,5.414920290414485,0.41855705681321176,1.0393841080495434,0.9946308598513801,SAFE,140,0.8525658230353328
147,8.166666666666666,5.414920290414485,0.41855705681321176,1.0393841080495434,0.9946308598513801,SAFE,140,0.8525658230353328
148,8.222222222222221,5.414920290414485,0.41855705681321176,1.0393841080495434,0.9946308598513801,SAFE,140,0.8525658230353328
149,8.277777777777779,5.475153336236982,0.4910860603770124,1.0547254112788522,1.0422105232723404,SAFE,140,0.8189139396229876
150,8.333333333333334,5.475153336236982,0.4910860603770124,1.0547254112788522,1.0422105232723404,SAFE,140,0.8189139396229876
151,8.38888888888889,5.545495775825982,0.5547481844963237,1.0616835832072569,1.065990356863906,SAFE,140,0.7552518155036764
152,8.444444444444445,5.545495775825982,0.5547481844963237,1.0616835832072569,1.065990356863906,SAFE,140,0.7552518155036764
153,8.5,5.545495775825982,0.5547481844963237,1.0616835832072569,1.065990356863906,SAFE,140,0.7552518155036764
154,8.555555555555555,5.610407041352455,0.603519548924413,1.0742973616115608,1.014274504479927,SAFE,140,0.7064804510755871
155,8.61111111111111,5.610407041352455,0.603519548924413,1.0742973616115608,1.014274504479927,SAFE,140,0.7064804510755871
156,8.666666666666666,5.682758818215982,0.6387483048903587,1.0806863500960595,0.9401104367798021,SAFE,140,0.6712516951096413
157,8.722222222222221,5.682758818215982,0.6387483048903587,1.0806863500960595,0.9401104367798021,SAFE,140,0.6712516951096413
158,8.777777777777779,5.682758818215982,0.6387483048903587,1.0806863500960595,0.9401104367798021,SAFE,140,0.6712516951096413
159,8.833333333333334,5.779026849903369,0.6714429418251576,1.081127981403493,0.8532242405207523,SAFE,140,0.6385570581748424
160,8.88888888888889,5.779026849903369,0.6714429418251576,1.081127981403493,0.8532242405207523,SAFE,140,0.6385570581748424
161,8.944444444444445,5.876869850883034,0.7349732167612043,1.0884507525458227,0.7491660674392957,SAFE,140,0.5750267832387957
162,9.0,5.876869850883034,0.7349732167612043,1.0884507525458227,0.7491660674392957,SAFE,140,0.5750267832387957
163,9.055555555555555,5.876869850883034,0.7349732167612043,1.0884507525458227,0.7491660674392957,SAFE,140,0.5750267832387957
164,9.11111111111111,5.9598772246817635,0.813609125578065,1.0902976894980645,0.6361358425857564,SAFE,140,0.5009243592090213
165,9.166666666666666,5.9598772246817635,0.813609125578065,1.0902976894980645,0.6361358425857564,SAFE,140,0.5009243592090213
166,9.222222222222221,6.0292726185609045,0.8671364719649522,1.0796762459268894,0.6112628302219287,SAFE,140,0.46565427022173755
167,9.277777777777779,6.0292726185609045,0.8671364719649522,1.0796762459268894,0.6112628302219287,SAFE,140,0.46565427022173755
168,9.333333333333334,6.0292726185609045,0.8671364719649522,1.0796762459268894,0.6112628302219287,SAFE,140,0.46565427022173755
169,9.38888888888889,6.108862515129338,0.9293566609642344,1.0690994577766593,0.5820098514104222,SAFE,140,0.44340832193224733
170,9.444444444444445,6.108862515129338,0.9293566609642344,1.0690994577766593,0.5820098514104222,SAFE,140,0.44340832193224733
171,9.5,6.202718052265798,1.0035368159024605,1.0652083782605923,0.5478143207936212,SAFE,140,0.4434665721651014
172,9.555555555555555,6.202718052265798,1.0035368159024605,1.0652083782605923,0.5478143207936212,SAFE,140,0.4434665721651014
173,9.61111111111111,6.286959664959358,1.0763915857781434,1.061243964864813,0.5810026689563135,SAFE,140,0.4565906177289614
174,9.666666666666666,6.286959664959358,1.0763915857781434,1.061243964864813,0.5810026689563135,SAFE,140,0.4565906177289614
175,9.722222222222221,6.286959664959358,1.0763915857781434,1.061243964864813,0.5810026689563135,SAFE,140,0.4565906177289614
176,9.777777777777779,6.366607872383302,1.148493462262012,1.057057387318342,0.5611694732749898,SAFE,140,0.46385920296828625
177,9.833333333333334,6.366607872383302,1.148493462262012,1.057057387318342,0.5611694732749898,SAFE,140,0.46385920296828625
178,9.88888888888889,6.442830543667716,1.2105206828398163,1.0547951028669988,0.5478014506635149,SAFE,140,0.39494796837357754
179,9.944444444444445,6.442830543667716,1.2105206828398163,1.0547951028669988,0.5478014506635149,SAFE,140,0.39494796837357754
180,10.0,6.442830543667716,1.2105206828398163,1.0547951028669988,0.5478014506635149,SAFE,140,0.39494796837357754
181,10.055555555555555,6.521636622043655,1.2590981631694966,1.048471316825468,0.4891168191588379,SAFE,140,0.33534971662760876
182,10.11111111111111,6.521636622043655,1.2590981631694966,1.048471316825468,0.4891168191588379,SAFE,140,0.33534971662760876
183,10.166666666666666,6.6065800570379105,1.3115242433064325,1.0382489711422123,0.4330570522245654,WARNING,140,0.285764832923859
184,10.222222222222221,6.6065800570379105,1.3115242433064325,1.0382489711422123,0.4330570522245654,WARNING,140,0.285764832923859
185,10.277777777777779,6.6065800570379105,1.3115242433064325,1.0382489711422123,0.4330570522245654,WARNING,140,0.285764832923859
186,10.333333333333334,6.691606221475643,1.3718514876244563,1.027630449146692,0.4264552959096075,WARNING,140,0.2700819074503644
187,10.38888888888889,6.691606221475643,1.3718514876244563,1.027630449146692,0.4264552959096075,WARNING,140,0.2700819074503644
188,10.444444444444445,6.770511660398868,1.4305607316907534,1.0223945747970014,0.45248084127156496,SAFE,140,0.2980330423000176
189,10.5,6.770511660398868,1.4305607316907534,1.0223945747970014,0.45248084127156496,SAFE,140,0.2980330423000176
190,10.555555555555555,6.770511660398868,1.4305607316907534,1.0223945747970014,0.45248084127156496,SAFE,140,0.2980330423000176
191,10.61111111111111,6.849275675834737,1.4766548235604122,1.0229133067359395,0.46594980564132943,SAFE,140,0.3366548235604121
192,10.666666666666666,6.849275675834737,1.4766548235604122,1.0229133067359395,0.46594980564132943,SAFE,140,0.3366548235604121
193,10.722222222222221,6.927921265611387,1.52737493346568,1.0309370727037295,0.4939713428404009,SAFE,140,0.38737493346567997
194,10.777777777777779,6.927921265611387,1.52737493346568,1.0309370727037295,0.4939713428404009,SAFE,140,0.38737493346567997
195,10.833333333333334,6.927921265611387,1.52737493346568,1.0309370727037295,0.4939713428404009,SAFE,140,0.38737493346567997
196,10.88888888888889,7.005916559834094,1.5952695580237146,1.0425397826333298,0.6715157567252052,SAFE,140,0.4552695580237145
197,10.944444444444445,7.005916559834094,1.5952695580237146,1.0425397826333298,0.6715157567252052,SAFE,140,0.4552695580237145
198,11.0,7.085123761113394,1.671456038500184,1.0509997139223677,0.7942459819564172,SAFE,140,0.5314560385001839
199,11.055555555555555,7.085123761113394,1.671456038500184,1.0509997139223677,0.7942459819564172,SAFE,140,0.5314560385001839
200,11.11111111111111,7.085123761113394,1.671456038500184,1.0509997139223677,0.7942459819564172,SAFE,140,0.5314560385001839
201,11.166666666666666,7.159195060094362,1.7391601208585576,1.058034665222152,0.7989867021486181,SAFE,140,0.5991601208585575
202,11.222222222222221,7.159195060094362,1.7391601208585576,1.058034665222152,0.7989867021486181,SAFE,140,0.5991601208585575
203,11.277777777777779,7.235298344556121,1.7972969422414207,1.0622457545297883,0.8255186161529872,SAFE,140,0.6572969422414205
204,11.333333333333334,7.235298344556121,1.7972969422414207,1.0622457545297883,0.8255186161529872,SAFE,140,0.6572969422414205
205,11.38888888888889,7.235298344556121,1.7972969422414207,1.0622457545297883,0.8255186161529872,SAFE,140,0.6572969422414205
206,11.444444444444445,7.321578310401444,1.8534547695144883,1.0627931076268793,0.8803826951453791,SAFE,140,0.7163385378678243
207,11.5,7.321578310401444,1.8534547695144883,1.0627931076268793,0.8803826951453791,SAFE,140,0.7163385378678243
208,11.555555555555555,7.410210271089387,1.9091926886117827,1.0625668890981128,0.9728332048247729,SAFE,140,0.7797897289106128
209,11.61111111111111,7.410210271089387,1.9091926886117827,1.0625668890981128,0.9728332048247729,SAFE,140,0.7797897289106128
210,11.666666666666666,7.410210271089387,1.9091926886117827,1.0625668890981128,0.9728332048247729,SAFE,140,0.7797897289106128
211,11.722222222222221,7.493098110415318,1.966363732019627,1.0620013739075727,1.064337515702838,SAFE,140,0.6969018895846819
212,11.777777777777779,7.493098110415318,1.966363732019627,1.0620013739075727,1.064337515702838,SAFE,140,0.6969018895846819
213,11.833333333333334,7.574739650292663,2.0238322836700573,1.0608848425476118,1.1556231007310946,SAFE,140,0.6152603497073361
214,11.88888888888889,7.574739650292663,2.0238322836700573,1.0608848425476118,1.1556231007310946,SAFE,140,0.6152603497073361
215,11.944444444444445,7.66,2.08,1.06,1.112352114584707,SAFE,140,0.5299999999999994
