sequence,obstacle_count,representation_scope,obstacle_radius_m,safety_distance_m,inflated_radius_m,circle_area_m2,inflated_circle_area_m2,occupancy_resolution_m,bbox_min_x_m,bbox_max_x_m,bbox_min_y_m,bbox_max_y_m,bounding_box_area_m2,occupancy_grid_cells,occupancy_blocked_cells,occupancy_area_m2,occupancy_fill_ratio,bbox_over_occupancy_ratio
345,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
184,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
185,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
186,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
187,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
188,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
189,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
190,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
191,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
192,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
193,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
194,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
195,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
196,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
197,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
198,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
199,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
201,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
202,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
203,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
204,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
205,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
206,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
207,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
208,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
209,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
210,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
211,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
212,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
213,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
214,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
215,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
216,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
217,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
218,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
219,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
220,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
221,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
222,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
223,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
224,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
225,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
226,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
227,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
228,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
229,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
230,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
231,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
232,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
233,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
234,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
235,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
236,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
237,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
238,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
239,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
240,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
241,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
242,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
243,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
244,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
245,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
246,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
247,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
248,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
249,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
250,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
251,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
252,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
253,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
254,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
255,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
256,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
257,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
258,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
259,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
260,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
261,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
262,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
263,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
264,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
265,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
266,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
267,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
268,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
269,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
270,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
271,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
272,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
273,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
274,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
275,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
276,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
277,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
278,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
279,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
280,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
281,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
282,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
283,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
284,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
285,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
286,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
287,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
288,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
289,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
290,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
291,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
292,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
293,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
294,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
295,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
296,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
297,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
298,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
299,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
300,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
301,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
302,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
303,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
304,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
305,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
306,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
307,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
308,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
309,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
310,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
311,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
312,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
313,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
314,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
315,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
316,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
317,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
318,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
319,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
320,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
321,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
322,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
323,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
324,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
325,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
326,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
327,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
328,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
329,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
330,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
331,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
332,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
333,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
